Asset ID,Asset Barcode,Serial Number,Model,Condition ID,Scrap Value,Current Value,Purchase Price,Is Checked Out,Asset Name,Brand,Manufacturer,Asset Category,Location,Status,Condition,Notes (i.e description of item)
103,XMSA004,,,6,,25000,,FALSE,HP G72 LAPTOP,HP,Hewlett-Park Company,Computing & Communication System,OFFICE,In Use,Good,
104,XMSA005,,650,6,,25000,,FALSE,HP 650 LAPTOP,HP,,Computing & Communication System,OFFICE,In Use,Good,
105,XMSA006,CNU9066NTN,550,6,,20000,,FALSE,HP 550 LAPTOP,HP,HEWLETT-PACKARD COMPANY,Computing & Communication System,OFFICE,In Use,Good,
106,XMSA007,2CE40822ZW,Probook 4540s,6,,28000,,FALSE,HP PROBOOK 4540s LAPTOP,HP,Hewlett-Packard Company,Computing & Communication System,OFFICE,In Use,Good,
107,XMSA0011,2CE92554BL,Pavilion G6,6,,25000,,FALSE,HP PAVILION G60 LAPTOP,HP,Hewlett-Packard Company,Computing & Communication System,TRANSPORT,In Use,Good,
108,XMSA0010,5CG1370H89,Pavilion G6,6,,28000,,FALSE,HP PAVILION G SERIES LAPTOP,HP,Hewlett-Packard Company,Computing & Communication System,OFFICE,In Use,Good,
109,XMSA008,ONHCFP-70166-19E00BX-A00,Inspiron,6,,25000,,FALSE,DELL INSPIRON LAPTOP/VOSTRO 1540,Dell,Dell Company,Computing & Communication System,OFFICE,In Use,Good,
110,XMSA0012,C1MK1KLDDTY4,"Macbook pro (13-Inch,Mid 2012)",6,,55000,,FALSE,APPLE MACBOOK PRO LAPTOP,Apple,Apple Company,Computing & Communication System,OFFICE,In Use,Good,
111,XMSA0013,CN-ONHCFP-70166,Vostro 1540,6,,25000,,FALSE,DELL VOSTRO 1540 LAPTOP,Dell,Dell Incorporated,Computing & Communication System,OFFICE,In Use,Good,
112,XMSA0014,663706-0445202,Pro 3500,6,,35000,,FALSE,HP PRO DESKTOP,HP,Hewlett-Packard Company,Computing & Communication System,OFFICE,In Use,Good,
113,XMSA0015,W802306H5PC,Late 2009,6,,55000,,FALSE,APPLE MAC DESKTOP,Apple,Apple Company,Computing & Communication System,OFFICE,In Use,Good,
114,XMSA0016,DTVD-JEM103225056A29600,Acer,6,,35000,,FALSE,ACER COMPUTER DESKTOP,Acer,Hewlett-Packard Company,Computing & Communication System,OFFICE,In Use,Good,
115,XMSA0017,3CB00921T1,Compaq 500B,6,,30000,,FALSE,COMPAQ 500B MT DESKTOP,Compaq,Hewlett-Packard Company,Computing & Communication System,OFFICE,In Use,Good,
116,XMSA0018,3CB93624K9,Compaq dx-1000,6,,25000,,FALSE,COMPAQ DX-1000 DESKTOP,Compaq,Hewlett-Packard Company,Computing & Communication System,OFFICE,In Use,Good,
117,XMSA0019,3CB93624K9,HP,6,,25000,,FALSE,HP COMPUTER DESKTOP,HP,Hewlett-Packard Company,Computing & Communication System,OFFICE,In Use,Good,
118,XMSA0020,CN41RB11KC,HP Scanjet 300,6,,5000,,FALSE,HP SCANJET 300,HP,Hewlett-Packard Company,Computing & Communication System,OFFICE,In Use,Good,
119,XMSA0021,VNC6L08613,HP Laserjet P1102W,6,,5000,,FALSE,HP LASERJET P1102W,HP,Hewlett-Packard Company,Computing & Communication System,STORE,In Storage,Good,
120,XMSA0022,VNDT89HH4L,HP Laserjet M1522nf,6,,10000,,FALSE,HP LASERJET M1522NF,HP,Hewlett-Packard Company,Computing & Communication System,OFFICE,In Use,Good,
121,XMSA00469,1H87EEHCKA,HP Laserjet M175nw,6,,8000,,FALSE,HP LASERJET 100 COLOR MFP M175nw,HP,Hewlett-Packard Company,Computing & Communication System,OFFICE,In Use,Good,
122,XMSA00470,,KX-TE5824,6,,20000,,FALSE,PANASONIC PABX,Panasonic,Panasonic,Computing & Communication System,OFFICE,In Use,Good,
123,XMSA00471,,KX-TS500MX,6,,2000,,FALSE,PANASONIC HEADSET MX,Panasonic,Panasonic,Computing & Communication System,OFFICE,In Use,Good,
124,XMSA00472,,KX-T2378MXW,6,,2000,,FALSE,PANASONIC HEADSET MXW,Panasonic,Panasonic,Computing & Communication System,OFFICE,In Use,Good,
125,XMSA00473,,KX-T7730X,6,,2000,,FALSE,PANASONIC HEADSET X,Panasonic,Panasonic,Computing & Communication System,OFFICE,In Use,Good,
126,XMSA00028,,DIR-600 Wireless 150,6,,2000,,FALSE,ROUTER D-LINK,,D-Link,Computing & Communication System,OFFICE,In Use,Good,
127,XMSA00029,,,6,,3000,,FALSE,ROUTER MAXIS,,Maxis broadband Router,Computing & Communication System,OFFICE,In Use,Good,
128,XMSA00030,,Workgroup 3024C,6,,7000,,FALSE,SWITCH: ACCTON,,Accton Cheetah,Computing & Communication System,OFFICE,In Use,Good,
129,XMSA00031,,,6,,15000,,FALSE,SWITCH: SMART,,Smart,Computing & Communication System,OFFICE,In Use,Good,
130,XMSA00032,,CAT6 (24 points),6,,10500,,FALSE,PATCH PANEL,,Giganet,Computing & Communication System,OFFICE,In Use,Good,
131,XMSA00033,RF2F30B4K5R,Samsung galaxy note SM-P601,6,,30000,,FALSE,SAMSUNG TABLET,,Samsung,Computing & Communication System,OFFICE,In Use,Good,
132,XMSA00474,,,6,,10000,,FALSE,CLONE COMPUTER,,,Computing & Communication System,TRANSPORT,In Use,Good,
133,XMSA00475,,22U Rack Secured,6,,15000,,FALSE,SERVER CABINET,,,Computing & Communication System,OFFICE,In Use,Good,
134,XMSA00476,,VEV-V1000 VHF/UHF,6,,32000,,FALSE,COMMUNICATION RADIOS,,Weierwei,Computing & Communication System,TRANSPORT,In Use,Good,
135,XMSA00477,2.01504E+12,Network Video Recorder,5,,17000,,FALSE,CCTV: DVR,,NVR,Computing & Communication System,OFFICE,In Use,New,
136,XMSA00478,,CV-1P0228W,5,,17000,,FALSE,CCTV: DOME CAMERA,,,Computing & Communication System,OFFICE,In Use,New,
137,XMSA00479,,CV-1P2118W,5,,16000,,FALSE,CCTV: BULLET CAMERA,,,Computing & Communication System,TRANSPORT,In Use,New,
146,XMSA00480,3.53032E+14,NOKIA,6,,,,TRUE,NOKIA,,,Computing & Communication System,OFFICE,In Use,Good,
147,XMSA00481,3.57134E+14,NOKIA,6,,,,TRUE,NOKIA,,,Computing & Communication System,OFFICE,In Use,Good,
148,XMSA00482,3.52929E+14,BLACKBERRY,6,,,,TRUE,LG 70 BLACKBERRY (To be returned),,,Computing & Communication System,OFFICE,In Use,Good,
150,XMSA00483,3.52929E+14,BLACKBERRY,6,,,,TRUE,LG 70 BLACKBERRY(To be returned),,,Computing & Communication System,OFFICE,In Use,Good,
151,XMSA00484,3.52929E+14,,6,,,,TRUE,LG70,,,Computing & Communication System,OFFICE,In Use,Good,
152,XMSA00485,35775.05.787421.2,BLACKBERRY,6,,,,TRUE,BLACKBERRY,,,Computing & Communication System,OFFICE,In Use,Good,
153,XMSA0047,S/N PF-049 W0014/09,,6,,,,FALSE,LENOVO E540,,,Computing & Communication System,OFFICE,In Use,Good,
154,XMSA0023,XMSA0023,,6,,8000,,FALSE,Office Desk Single Pedestal,,,Furniture,OFFICE,In Use,Good,
155,XMSA0024,XMSA0024,,6,,8000,,FALSE,Office Desk single pedestal,,,Furniture,OFFICE,In Use,Good,
156,XMSA0025,XMSA0025,,,,8000,,FALSE,Office Desk Singlr Pedestal,,,Furniture,OFFICE,In Use,,
157,XMSA0026,XMSA0026,,6,,8000,,FALSE,Office Desk Single Pedestal,,,Furniture,OFFICE,In Use,Good,
158,XMSA0027,XMSA0027,,6,,8000,,FALSE,Office Desk Single Pedestal,,,Furniture,OFFICE,In Use,Good,
159,XMSA0034,XMSA0034,,6,,8000,,FALSE,Office Desk Single Pedestal,,,Furniture,OFFICE,In Use,Good,
160,XMSA0036,XMSA0036,,6,,8000,,FALSE,Office Desk Single Pedestal,,,Furniture,OFFICE,In Use,Good,
161,XMSA0037,XMSA0037,,6,,8000,,FALSE,Office Desk Single Pedestal,,,Furniture,OFFICE,In Use,Good,
162,XMSA0038,XMSA0038,,6,,8000,,FALSE,Office Desk Single Pedestal,,,Furniture,OFFICE,In Use,Good,
163,XMSA0039,XMSA0039,,6,,8000,,FALSE,Office Desk Single Pedestal,,,Furniture,OFFICE,In Use,Good,
164,XMSA0040,XMSA0040,,6,,12000,,FALSE,LARGE OFFICE DESK SINGLE PEDESTAL,,,Furniture,OFFICE,In Use,Good,
165,XMSA0041,XMSA0041,,6,,12000,,FALSE,LARGE OFFICE DESK SINGLE OEDESTAL,,,Furniture,OFFICE,In Use,Good,
166,XMSA0042,XMSA0042,,6,,12000,,FALSE,LARGE OFFICE DESK SINGLE PEDESTAL,,,Furniture,OFFICE,In Use,Good,
167,XMSA0043,XMSA0043,,6,,12000,,FALSE,LARGE OFFICE DESK SINGLE PEDESTAL,,,Furniture,OFFICE,In Use,Good,
168,XMSA0044,XMSA0044,,6,,12000,,FALSE,LARGE OFFICE DESK SINGLE PDESTAL,,,Furniture,OFFICE,In Use,Good,
169,XMSA0045,XMSA0045,,6,,12000,,FALSE,LARGE OFFICE DESK SINGLE PEDESTAL,,,Furniture,OFFICE,In Use,Good,
170,XMSA0046,XMSA0046,,6,,12000,,FALSE,RECEPTION FRONT OFFICE DESK (SINGLE PEDESTAL),,,Furniture,OFFICE,In Use,Good,
171,XMSA0048,XMSA0048,,6,,12000,,FALSE,RECEPTION FRONT OFFICE DESKS (SINGLE PEDESTAL),,,Furniture,OFFICE,In Use,Good,
172,XMSA0049,XMSA0049,,6,,12000,,FALSE,RECEPTION FRONT DESK OFFICE (SINGLE PEDESTAL),,,Furniture,OFFICE,In Use,Good,
173,XMSA0050,XMSA0050,,6,,15000,,FALSE,EXECUTIVE OFFICE DESK (DOUBLE PEDESTAL) L-SHAPED,,,Furniture,OFFICE,In Use,Good,
174,XMSA0051,XMSA0051,,6,,8000,,FALSE,FABRICATED DESKS (MULTIPLE PEDESTALS),,,Furniture,TRANSPORT,In Use,Good,
175,XMSA0052,XMSA0052,,6,,8000,,FALSE,LARGE OFFICE FILING CABINET (DOUBLE DOOR),,,Furniture,OFFICE,In Use,Good,
176,XMSA0053,XMSA0053,,6,,4000,,FALSE,OFFICE FILING CABINET (2 DRAWERS/SHELVES),,,Furniture,OFFICE,In Use,Good,
177,XMSA0054,XMSA0054,,6,,4000,,FALSE,OFFICE FILING CABINET (2 DRAWERS/SHELVES),,,Furniture,OFFICE,In Use,Good,
178,XMSA0055,XMSA0055,,6,,4000,,FALSE,OFFICE FILING CABINET (2DRAWERS/SHELVES),,,Furniture,OFFICE,In Use,Good,
179,XMSA0056,XMSA0056,,6,,4000,,FALSE,OFFICE FILING CABINET (2DRAWERS/SHELVES),,,Furniture,OFFICE,In Use,Good,
180,XMSA0057,XMSA0057,,6,,5500,,FALSE,LARGE DRAWING TABLE,,,Furniture,OFFICE,In Use,Good,
181,XMSA0058,XMSA0058,,6,,5000,,FALSE,SMALL ROUND TABLE,,,Furniture,OFFICE,In Use,Good,
182,XMSA0059,XMSA0059,,6,,12500,,FALSE,EXECUTIVE HIGHBACK SWIVEL CHAIRS,,,Furniture,OFFICE,In Use,Good,
183,XMSA0060,XMSA0060,,6,,10000,,FALSE,HIGHBACK SWIVEL CHAIR,,,Furniture,OFFICE,In Use,Good,
184,XMSA0061,XMSA0061,,6,,10000,,FALSE,HIGHBACK SWIVEL CHAIR,,,Furniture,OFFICE,In Use,Good,
185,XMSA0062,XMSA0062,,6,,10000,,FALSE,HIGHBACK SWIVEL CHAIR,,,Furniture,OFFICE,In Use,Good,
186,XMSA0063,XMSA0063,,6,,8000,,FALSE,MID-BACK SWIVEL CHAIR (FABRIC),,,Furniture,OFFICE,In Use,Good,
187,XMSA0064,XMSA0064,,6,,8000,,FALSE,MID-BACK SWIVEL CHAIR (FABRIC),,,Furniture,OFFICE,In Use,Good,
188,XMSA0065,XMSA0065,,6,,8000,,FALSE,MID-BACK SWIVEL CHAIR (FABRIC),,,Furniture,OFFICE,In Use,Good,
189,XMSA0066,XMSA0066,,6,,8000,,FALSE,MID-BACK SWIVEL CHAIR (FABRIC),,,Furniture,OFFICE,In Use,Good,
190,XMSA0067,XMSA0067,,6,,8000,,FALSE,MID-BACK SWIVEL CHAIR (FABRIC),,,Furniture,OFFICE,In Use,Good,
191,XMSA0068,XMSA0068,,6,,8000,,FALSE,MID-BACK SWIVEL CHAIR (FABRIC),,,Furniture,STORE,In Use,Good,
192,XMSA0069,XMSA0069,,6,,8000,,FALSE,MID-BACK SWIVEL CHAIR (FABRIC),,,Furniture,OFFICE,In Use,Good,
193,XMSA0070,XMSA0070,,6,,8000,,FALSE,MID-BACK SWIVEL CHAIR (FABRIC),,,Furniture,OFFICE,In Use,Good,
194,XMSA0071,XMSA0071,,6,,8000,,FALSE,MID-BACK AWIVEL CHAIR (FABRIC),,,Furniture,OFFICE,In Use,Good,
195,XMSA0072,XMSA0072,,6,,9000,,FALSE,MID-BACK SWIVEL CHAIR (LEATHER),,,Furniture,STORE,In Use,Good,
196,XMSA0073,XMSA0073,,6,,9000,,FALSE,MID-BACK SWIVEL CHAIR (LEATHER),,,Furniture,OFFICE,In Use,Good,
197,XMSA0074,XMSA0074,,6,,9000,,FALSE,MID-BACK SWIVEL CHAIR (LEATHER),,,Furniture,OFFICE,In Use,Good,
198,XMSA0075,XMSA0075,,6,,9000,,FALSE,MID-BACK SWIVEL CHAIR (LEATHER),,,Furniture,OFFICE,In Use,Good,
199,XMSA0076,XMSA0076,,6,,9000,,FALSE,MID-BACK SWIVEL CHAIR (LEATHER),,,Furniture,OFFICE,In Use,Good,
200,XMSA0077,XMSA0077,,6,,9000,,FALSE,MID-BACK SWIVEL CHAIR (LEATHER),,,Furniture,OFFICE,In Use,Good,
201,XMSA0078,XMSA0078,,6,,5500,,FALSE,LOW-BACK/RECEPTION SWIVEL CHAIR,,,Furniture,OFFICE,In Use,Good,
202,XMSA0081,XMSA0081,,6,,5500,,FALSE,LOW-BACK RECEPTION SWIVEL CHAIR,,,Furniture,OFFICE,In Use,Good,
203,XMSA0080,XMSA0080,,6,,5500,,FALSE,LOW-BACK RECEPTION SWIVEL CHAIR,,,Furniture,OFFICE,In Use,Good,
204,XMSA0079,XMSA0079,,6,,5500,,FALSE,LOW-BACK RECEPTION SWIVEL CHAIR,,,Furniture,OFFICE,In Use,Good,
205,XMSA0082,XMSA0082,,6,,3000,,FALSE,VISITORS CHAIRS,,,Furniture,OFFICE,In Use,Good,
206,XMSA0083,XMSA0083,,6,,3000,,FALSE,VISITORS CHAIRS,,,Furniture,OFFICE,In Use,Good,
207,XMSA0084,XMSA0084,,6,,3000,,FALSE,VISITORS CHAIRS,,,Furniture,OFFICE,In Use,Good,
208,XMSA0085,XMSA0085,,6,,3000,,FALSE,VISITORS CHAIRS,,,Furniture,OFFICE,In Use,Good,
209,XMSA0086,XMSA0086,,6,,3000,,FALSE,VISITORS CHAIRS,,,Furniture,OFFICE,In Use,Good,
210,XMSA0087,XMSA0087,,6,,3000,,FALSE,VISITORS CHAIRS,,,Furniture,OFFICE,In Use,Good,
211,XMSA0088,XMSA0088,,6,,3000,,FALSE,VISITORS CHAIRS,,,Furniture,OFFICE,In Use,Good,
212,XMSA0089,XMSA0089,,6,,,,FALSE,PLASTIC CHAIRS,,,Furniture,OFFICE,In Use,Good,
213,XMSA0090,XMSA0090,,6,,,,FALSE,PLASTIC CHAIRS,,,Furniture,STORE,In Use,Good,
214,XMSA0091,XMSA0091,,6,,1200,,FALSE,PLASTIC CHAIRS,,,Furniture,OFFICE,In Use,Good,
215,XMSA0092,XMSA0092,,6,,1200,,FALSE,PLASTIC CHAIRS,,,Furniture,OFFICE,In Use,Good,
216,XMSA0093,XMSA0093,,6,,1200,,FALSE,PLASTIC CHAIRS,,,Furniture,OFFICE,In Use,Good,
217,XMSA0094,XMSA0094,,6,,1200,,FALSE,PLASTIC CHAIRS,,,Furniture,OFFICE,In Use,Good,
218,XMSA0095,XMSA0095,,6,,1200,,FALSE,PLASTIC CHAIRS,,,Furniture,OFFICE,In Use,Good,
219,XMSA0096,XMSA0096,,6,,1200,,FALSE,PLASTIC CHAIRS,,,Furniture,OFFICE,In Use,Good,
220,XMSA0097,XMSA0097,,6,,1200,,FALSE,PLASTIC CHAIRS,,,Furniture,OFFICE,In Use,Good,
221,XMSA0098,XMSA0098,,6,,1200,,FALSE,PLASTIC CHAIRS,,,Furniture,OFFICE,In Use,Good,
222,XMSA0099,XMSA0099,,6,,1200,,FALSE,PLASTIC CHAIRS,,,Furniture,OFFICE,In Use,Good,
223,XMSA00100,XMSA00100,,6,,1200,,FALSE,PLASTIC CHAIRS,,,Furniture,OFFICE,In Use,Good,
224,XMSA00101,XMSA00101,,6,,1200,,FALSE,PLASTIC CHAIRS,,,Furniture,STORE,In Use,Good,
225,XMSA00102,XMSA00102,,6,,1200,,FALSE,PLASTIC CHAIRS,,,Furniture,OFFICE,In Use,Good,
226,XMSA00103,XMSA00103,,6,,1200,,FALSE,PLASTIC CHAIRS,,,Furniture,OFFICE,In Use,Good,
227,XMSA00104,XMSA00104,,6,,1200,,FALSE,PLASTIC CHAIRS,,,Furniture,OFFICE,In Use,Good,
228,XMSA00105,XMSA00105,,6,,1200,,FALSE,PLASTIC CHAIRS,,,Furniture,OFFICE,In Use,Good,
229,XMSA00106,XMSA00106,,6,,1200,,FALSE,PLASTIC CHAIRS,,,Furniture,OFFICE,In Use,Good,
230,XMSA00107,XMSA00107,,6,,1200,,FALSE,PLASTIC CHAIRS,,,Furniture,OFFICE,In Use,Good,
231,XMSA00108,XMSA00108,,6,,1200,,FALSE,PLASTIC CHAIRS,,,Furniture,OFFICE,In Use,Good,
232,XMSA00109,XMSA00109,,6,,10000,,FALSE,WATER DISPENSER,,,GENERAL EQUIPMENT,OFFICE,In Use,Good,
233,XMSA00110,XMSA00110,,6,,10000,,FALSE,WATER DISPENSER,,,GENERAL EQUIPMENT,OFFICE,In Use,Good,
234,XMSA00111,XMSA00111,,6,,4000,,FALSE,MICROWAVE,,,GENERAL EQUIPMENT,OFFICE,In Use,Good,
235,XMSA00112,XMSA00112,,6,,12500,,FALSE,FRIDGE,,,GENERAL EQUIPMENT,OFFICE,In Use,Good,
236,XMSA00113,XMSA00113,,6,,5000,,FALSE,GAS CYLINDER,,,GENERAL EQUIPMENT,OFFICE,In Use,Good,
237,XMSA00114,XMSA00114,,6,,5500,,FALSE,FIRE EXTINGUISHER(CLASS D),,TITAN FIRE AND SECURITY LTD,GENERAL EQUIPMENT,STORE,In Use,Good,
238,XMSA00115,XMSA00115,,6,,5500,,FALSE,FIRE EXTINGUISHER (CLASS D),,TITAN FIRE AND SEC LTD,GENERAL EQUIPMENT,OFFICE,In Use,Good,
239,XMSA00116,XMSA00116,,6,,5500,,FALSE,FIRE EXTINGUISHER CLASS (B&C),,TITAN FIRE,GENERAL EQUIPMENT,OFFICE,In Use,Good,
240,XMSA00117,XMSA00117,,6,,2000,,FALSE,KETTLE,,RAMTONS,GENERAL EQUIPMENT,OFFICE,In Use,Good,
241,XMSA00118,XMSA00118,,6,,5000,,FALSE,COLOUR TELEVISION,,SANYO,GENERAL EQUIPMENT,OFFICE,In Use,Good,
242,XMSA00119,XMSA00119,,6,,25000,,FALSE,COLOUR TELEVISION,,SONY,GENERAL EQUIPMENT,OFFICE,In Use,Good,
243,XMSA00120,7068674,DVD-SR200P,6,,2500,,FALSE,DVD PLAYER,,SONY,GENERAL EQUIPMENT,OFFICE,In Use,Good,
244,XMSA00121,XMSA00121,GEK 8SP-1,6,,1000000,,FALSE,GENERATOR,,caterpillar electric company,GENERAL EQUIPMENT,SQ,In Use,Good,
245,XMSA0122,XMSA00122,SM7,6,,13000,,FALSE,INSTRUMENT MICROPHONES,,,Audio Production,STORE,In Use,Good,
246,XMSA0123,XMSA00123,SM7,6,,13000,,FALSE,INSTRUMENT MICROPHONES,,,Audio Production,STORE,In Use,Good,
247,XMSA0124,XMSA00124,,6,,13000,,FALSE,INSTRUMENT MICROPHONES,,,Audio Production,STORE,In Use,Good,
248,XMSA0125,XMSA00125,SM7,6,,13000,,FALSE,INSTRUMENT MICROPHONES,,,Audio Production,STORE,In Use,Good,
249,XMSA0126,XMSA00126,SM7,6,,13000,,FALSE,INSTRUMENT MICROPHONES,,,Audio Production,STORE,In Use,Good,
250,XMSA0127,XMSA00127,SM7,6,,13000,,FALSE,INSTRUMENT MICROPHONES,,,Audio Production,STORE,In Use,Good,
251,XMSA0128,XMSA00128,,6,,13000,,FALSE,INSTRUMENT MICROPHONES,,,Audio Production,STORE,In Use,Good,
252,XMSA0129,XMSA00129,SM7,6,,13000,,FALSE,INSTRUMENT MICROPHONES,,,Audio Production,STORE,In Use,Good,
253,XMSA0130,XMSA00130,SM7,6,,13000,,FALSE,INSTRUMENT MICROPHONES,,,Audio Production,STORE,In Use,Good,
254,XMSA0131,XMSA00131,SM7,6,,13000,,FALSE,INSTRUMENT MICROPHONES,,,Audio Production,STORE,In Use,Good,
255,XMSA0132,XMSA00132,SM58,7,,10000,,FALSE,VOCAL MICROPHONES,,,Audio Production,STORE,In Use,Fair,
256,XMSA0133,XMSA00133,SM58,7,,10000,,FALSE,VOCAL MICROPHONES,,,Audio Production,STORE,In Use,Fair,
257,XMSA0134,XMSA00134,SM58,7,,10000,,FALSE,VOCAL MICROPHONES,,,Audio Production,STORE,In Use,Fair,
258,XMSA0135,XMSA00135,SM58,7,,10000,,FALSE,VOCAL MICROPHONES,,,Audio Production,STORE,In Use,Fair,
259,XMSA0136,XMSA00136,SM58,7,,10000,,FALSE,VOCAL MICROPHONES,,,Audio Production,STORE,In Use,Fair,
260,XMSA0137,XMSA00137,SM58,7,,10000,,FALSE,VOCAL MICROPHONES,,,Audio Production,STORE,In Use,Fair,
261,XMSA0138,XMSA00138,SM58,7,,10000,,FALSE,VOCAL MICROPHONES,,,Audio Production,STORE,In Use,Fair,
262,XMSA0139,XMSA00139,SM58,7,,10000,,FALSE,VOCAL MICROPHONES,,,Audio Production,STORE,In Use,Fair,
263,XMSA0140,XMSA00140,SM58,7,,10000,,FALSE,VOCAL MICROPHONES,,,Audio Production,STORE,In Use,Fair,
264,XMSA0141,XMSA00141,e609,6,,10000,,FALSE,GUITAR FLAT HEAD,,,Audio Production,STORE,In Use,Good,
265,XMSA0142,XMSA00142,e609,6,,10000,,FALSE,GUITAR FLAT HEAD,,,Audio Production,STORE,In Use,Good,
266,XMSA0143,XMSA00143,e602-II,6,,19000,,FALSE,BASS MIC SENNHEISER,,,Audio Production,STORE,In Use,Good,
267,XMSA0144,XMSA00144,e614,6,,10000,,FALSE,DRUM CLIP,,,Audio Production,STORE,In Use,Good,
268,XMSA0145,XMSA00145,e614,6,,10000,,FALSE,DRUM CLIP,,,Audio Production,STORE,In Use,Good,
269,XMSA0146,XMSA00146,e614,6,,10000,,FALSE,DRUM CLIP,,,Audio Production,STORE,In Use,Good,
270,XMSA0147,XMSA00147,e609,6,,17000,,FALSE,OVERHEAD,,,Audio Production,STORE,In Use,Good,
271,XMSA0148,XMSA00148,e609,6,,17000,,FALSE,OVERHEAD,,,Audio Production,STORE,In Use,Good,
272,XMSA0149,XMSA00149,e609,6,,17000,,FALSE,OVERHEAD,,,Audio Production,STORE,In Use,Good,
273,XMSA0150,XMSA00150,e609,6,,17000,,FALSE,OVERHEAD,,,Audio Production,STORE,In Use,Good,
274,XMSA0151,XMSA00151,98AMP,6,,20000,,FALSE,INSTRUMENT GOOSENECK (DRUM) MIC,,,Audio Production,STORE,In Use,Good,
275,XMSA0152,XMSA00152,98AMP,6,,20000,,FALSE,INSTRUMENT GOOSENECK (DRUM) MIC,,,Audio Production,STORE,In Use,Good,
276,XMSA0153,XMSA00153,98AMP,6,,20000,,FALSE,INSTRUMENT GOOSENECK (DRUM) MIC,,,Audio Production,STORE,In Use,Good,
277,XMSA0154,XMSA00154,BETA 98H,6,,10000,,FALSE,BASS INSTRUMENT MIC,,,Audio Production,STORE,In Use,Good,
278,XMSA0155,XMSA00155,BETA 98H,6,,10000,,FALSE,BASS INSTRUMENT MIC,,,Audio Production,STORE,In Use,Good,
279,XMSA0156,XMSA00156,BETA 98H,6,,10000,,FALSE,BASS INSTRUMENT MIC,,,Audio Production,STORE,In Use,Good,
280,XMSA0157,XMSA00157,BETA 98H,6,,10000,,FALSE,BASS INSTRUMENT MIC,,,Audio Production,STORE,In Use,Good,
281,XMSA0158,XMSA00158,,6,,4500,,FALSE,CONFERENCE MICROPHONE (GOOSENECK),,,Audio Production,STORE,In Use,Good,
